Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
24357485,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.27,Tom Doherty Associates,Kindle Edition,385,2015,2015,,2021/01/18,,,read,,,,1,,,0,,,,,
18739426,"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.39,Tor,Kindle Edition,448,2016,2016,,2021/01/18,,,read,,,,1,,,0,,,,,
53485326,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""""","=""""",0,4.12,Gollancz,Kindle Edition,292,2020,1993,,2021/01/18,,,read,,,,1,,,0,,,,,
17204679,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.",Ilse Lasch,"=""""","=""""",3,4.35,Beacon Press,Kindle Edition,188,2006,1946,2020/04/13,2020/04/13,,,read,,,,1,,,0,,,,,
11070265,Cards on the Table,Agatha Christie,"Christie, Agatha",,"=""""","=""""",5,3.94,,Kindle Edition,228,,1936,2020/02/15,2020/02/15,,,read,,,,1,,,0,,,,,
38770021,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",5,4.52,Penguin,Kindle Edition,464,2018,2018,2019/06/20,2019/06/20,,,read,,,,1,,,0,,,,,
11061064,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.",Christopher Tolkien,"=""""","=""""",3,3.93,HarperCollins,Kindle Edition,357,2011,1977,2017/08/06,2017/08/06,,,read,,,,2,,,0,,,,,
11177547,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",2,4.22,Pan Books,Kindle Edition,204,2009,1979,2017/01/24,2017/01/24,,,read,,,,1,,,0,,,,,
18245960,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",4,4.06,Tor Books,Kindle Edition,400,2014,2006,2016/10/30,2016/10/30,,,read,,,,1,,,0,,,,,
11060744,The Importance of Being Earnest,Oscar Wilde,"Wilde, Oscar",,"=""""","=""""",3,4.18,Methuen,Kindle Edition,104,2011,1895,2016/10/17,2016/10/17,,,read,,,,1,,,0,,,,,
18998731,"Rise of the Seven (The Frey Saga, #3)",Melissa Wright,"Wright, Melissa",,"=""""","=""""",3,3.97,,Kindle Edition,234,2012,2012,2016/05/29,2016/05/29,,,read,,,,1,,,0,,,,,
